Account,total_pnl,trades,win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,1599059.96,1731,79.26
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940132.39,9995,99.12
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,725029.64,5227,78.21
0x513b8629fe877bb581bf244e326a047b249c4ff1,664245.39,5047,88.05
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,373093.51,8637,92.5
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,359965.92,557,77.38
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308582.1,2948,92.67
0x430f09841d65beb3f27765503d0f850b8bce7713,234778.47,576,100.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,188415.1,89,100.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,63336.36,2432,95.02
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308582.1,2948,92.67
0x430f09841d65beb3f27765503d0f850b8bce7713,234778.47,576,100.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,188415.1,89,100.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,63336.36,2432,95.02
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,55625.3,172,100.0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,39847.13,245,90.61
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,22449.51,170,100.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,9217.04,1422,86.71
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,3930.38,92,77.17
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2663.87,102,95.1
