date,daily_pnl,n_trades,sentiment_value,classification
2023-12-14,-205.43473700000007,6,72,Greed
2023-12-15,-24.632033999999997,2,70,Greed
2023-12-17,304.982785,11,73,Greed
2023-12-19,1000.5386120000001,10,73,Greed
2023-12-20,162.732282,8,74,Greed
2023-12-21,537.211402,27,70,Greed
2023-12-22,141.832675,2,74,Greed
2023-12-23,146.936704,8,70,Greed
2023-12-24,1008.619956,17,71,Greed
2023-12-25,-245.081348,1,73,Greed
2023-12-27,-704.8892269999999,13,73,Greed
2023-12-28,-970.730876,13,73,Greed
2023-12-29,508.92214299999995,20,65,Greed
2023-12-30,354.998648,33,68,Greed
2024-01-01,-129.53146,6,65,Greed
2024-01-02,783.979116,9,71,Greed
2024-01-03,866.015507,35,70,Greed
2024-01-04,-67.60364,3,68,Greed
2024-01-05,164.141565,23,72,Greed
2024-01-06,135.58166400000002,12,70,Greed
2024-01-07,-835.681235,37,71,Greed
2024-01-08,-269.874439,67,71,Greed
2024-01-09,-826.349863,28,76,Extreme Greed
2024-01-10,-1517.091342,83,73,Greed
2024-01-11,-164.08950099999998,9,76,Extreme Greed
2024-01-12,-1925.519024,2,71,Greed
2024-01-15,152.85358,9,52,Neutral
2024-01-16,-2299.171458,5,64,Greed
2024-01-17,813.2741110000001,19,60,Greed
2024-01-18,68.93319,9,63,Greed
2024-01-19,-385.385235,26,51,Neutral
2024-01-20,-146.57487000000003,32,52,Neutral
2024-01-21,266.58114600000005,5,56,Greed
2024-01-22,1375.640959,41,55,Greed
2024-01-23,-369.2447299999998,20,50,Neutral
2024-01-24,-2808.353815,40,48,Neutral
2024-01-25,-3093.6293849999997,6,52,Neutral
2024-01-26,90.2,1,49,Neutral
2024-01-28,-2478.06972,11,54,Neutral
2024-01-29,486.562542,45,55,Greed
2024-01-30,-173.65419100000003,19,61,Greed
2024-01-31,-756.419851,437,60,Greed
2024-02-02,456.423473,21,63,Greed
2024-02-03,223.30918699999998,12,60,Greed
2024-02-04,47.62389499999999,28,60,Greed
2024-02-05,-33.45419400000003,32,60,Greed
2024-02-06,-322.52129,509,64,Greed
2024-02-07,241.24212,2,62,Greed
2024-02-08,770.756024,4,66,Greed
2024-02-11,983.443176,7,71,Greed
2024-02-12,913.8817869999998,15,70,Greed
2024-02-13,559.44389,14,79,Extreme Greed
2024-02-14,3830.599833,84,74,Greed
2024-02-15,1840.797677,60,72,Greed
2024-02-16,5491.768834,146,72,Greed
2024-02-17,1929.6418,65,76,Extreme Greed
2024-02-18,477.6248299999999,68,72,Greed
2024-02-19,4225.268363,78,75,Extreme Greed
2024-02-20,3263.628824,32,72,Greed
2024-02-21,1858.7985700000002,15,78,Extreme Greed
2024-02-22,2287.22275,52,74,Greed
2024-02-23,1418.55293,138,76,Extreme Greed
2024-02-25,-30.7705,2,74,Greed
2024-02-26,4416.8473,34,72,Greed
2024-02-27,888.511733,50,79,Extreme Greed
2024-02-28,2503.747235,39,82,Extreme Greed
2024-02-29,9022.179172,99,80,Extreme Greed
2024-03-01,8244.241409,128,80,Extreme Greed
2024-03-02,230.90060000000005,28,80,Extreme Greed
2024-03-03,8361.086245,54,83,Extreme Greed
2024-03-04,27799.775742,270,82,Extreme Greed
2024-03-05,19791.026041,163,90,Extreme Greed
2024-03-06,6814.825139,72,75,Extreme Greed
2024-03-08,4271.886236,59,81,Extreme Greed
2024-03-09,9949.501624,107,84,Extreme Greed
2024-03-10,2482.9272,38,79,Extreme Greed
2024-03-11,3588.179495,39,82,Extreme Greed
2024-03-12,3039.166,7,81,Extreme Greed
2024-03-14,3465.865832,16,88,Extreme Greed
2024-03-15,6236.513651,41,83,Extreme Greed
2024-03-16,228.57984,1,81,Extreme Greed
2024-03-17,503.293955,10,79,Extreme Greed
2024-03-18,1456.9577,6,77,Extreme Greed
2024-03-19,668.797973,7,79,Extreme Greed
2024-03-20,6423.134599,60,74,Greed
2024-03-21,2335.5080749999997,23,78,Extreme Greed
2024-03-24,1297.018477,15,74,Greed
2024-03-25,1302.916428,6,75,Extreme Greed
2024-03-26,3215.906593,110,81,Extreme Greed
